累計,,,,,,,
公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額
4175 杏一,2023/03,1,Y,03,NTD,"7,040,034","1,753,111"
4175 杏一,2023/06,2,Y,06,NTD,"7,147,290","3,590,693"
4175 杏一,2023/09,3,Y,09,NTD,"7,708,047","5,438,501"
4175 杏一,2023/12,4,Y,12,NTD,"7,629,534","7,446,190"
,,,,,,,
單季,,,,,,,
公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額
4175 杏一,2023/03,1,Y,03,NTD,"7,040,034","1,753,111"
4175 杏一,2023/06,2,Y,06,NTD,"7,147,290","1,837,582"
4175 杏一,2023/09,3,Y,09,NTD,"7,708,047","1,847,808"
4175 杏一,2023/12,4,Y,12,NTD,"7,629,534","2,007,689"
